"Character","Name","Width","Height","CornerR","CornerG","CornerB","CornerA"
"gemini","AGI","1254","1254","254","255","255","255"
"gemini","AI인 제가 이런걸 봐야할까요","1254","1254","253","253","253","255"
"gemini","G.O.A.T","1254","1254","253","253","255","255"
"gemini","J.O.A.T","1254","1254","253","253","253","255"
"gemini","ㄹㅇㅋㅋ","1254","1254","253","253","253","255"
"gemini","ㄹㅇ이가;","1254","1254","252","252","252","255"
"gemini","개추","1254","1254","253","253","253","255"
"gemini","검토완료","1254","1254","253","253","255","255"
"gemini","계산끝","1254","1254","253","253","255","255"
"gemini","그건별로","1254","1254","254","253","255","255"
"gemini","그건안돼","1254","1254","253","254","255","255"
"gemini","그정돈아님","1254","1254","253","253","255","255"
"gemini","근거있음","1254","1254","253","253","255","255"
"gemini","꺼져","1254","1254","253","253","255","255"
"gemini","꽤괜찮은데","1254","1254","253","253","253","255"
"gemini","내가볼게","1254","1254","253","253","255","255"
"gemini","다시해봐","1254","1254","253","253","255","255"
"gemini","대충맞음","1254","1254","253","253","255","255"
"gemini","똥ㅋㅋ","1254","1254","253","253","255","255"
"gemini","물음표3개","1254","1254","253","253","255","255"
"gemini","바로가능","1254","1254","253","253","255","255"
"gemini","버그발견","1254","1254","253","253","255","255"
"gemini","비추","1254","1254","254","253","255","255"
"gemini","수정완료","1254","1254","254","255","255","255"
"gemini","아닌데","1254","1254","253","253","255","255"
"gemini","어흐~","1254","1254","253","253","253","255"
"gemini","오류났다","1254","1254","253","254","255","255"
"gemini","윙크","1254","1254","253","253","253","255"
"gemini","이건쉬움","1254","1254","254","253","255","255"
"gemini","이건웃기네","1254","1254","253","254","255","255"
"gemini","잘자","1254","1254","253","253","255","255"
"gemini","잠깐만","1254","1254","253","253","255","255"
"gemini","잠시로딩","1254","1254","253","253","255","255"
"gemini","조금애매함","1254","1254","253","253","255","255"
"gemini","좀웃긴데","1254","1254","253","253","255","255"
"gemini","좋은데","1254","1254","253","253","253","255"
"gemini","좋은질문","1254","1254","253","253","255","255"
"gemini","찾아오는중","1254","1254","253","253","255","255"
"gemini","출처있음","1254","1254","253","253","255","255"
"gemini","파일줘봐","1254","1254","253","253","253","255"
"gemini","하트","1254","1254","254","255","255","255"
"gemini","확인해봄","1254","1254","253","253","255","255"
"gpt","AGI","1254","1254","254","255","254","255"
"gpt","AI인 제가 이런걸 봐야할까요","1254","1254","254","255","255","255"
"gpt","G.O.A.T","1254","1254","253","255","255","255"
"gpt","J.O.A.T","1254","1254","254","253","255","255"
"gpt","ㄹㅇㅋㅋ","1254","1254","254","255","255","255"
"gpt","ㄹㅇ이가;","1254","1254","254","253","255","255"
"gpt","개추","1254","1254","254","255","255","255"
"gpt","검토완료","1254","1254","253","255","255","255"
"gpt","계산끝","1254","1254","253","254","255","255"
"gpt","그건별로","1254","1254","254","254","255","255"
"gpt","그건안돼","1254","1254","254","255","255","255"
"gpt","그정돈아님","1254","1254","254","253","255","255"
"gpt","근거있음","1254","1254","254","255","255","255"
"gpt","꺼져","1254","1254","254","255","255","255"
"gpt","꽤괜찮은데","1254","1254","254","254","255","255"
"gpt","내가볼게","1254","1254","254","253","253","255"
"gpt","다시해봐","1254","1254","254","253","255","255"
"gpt","대충맞음","1254","1254","255","255","254","255"
"gpt","똥ㅋㅋ","1254","1254","254","253","255","255"
"gpt","물음표3개","1254","1254","253","255","255","255"
"gpt","바로가능","1254","1254","254","254","255","255"
"gpt","버그발견","1254","1254","254","253","255","255"
"gpt","비추","1254","1254","253","255","254","255"
"gpt","수정완료","1254","1254","253","255","255","255"
"gpt","아닌데","1254","1254","254","253","255","255"
"gpt","어흐~","1254","1254","254","254","255","255"
"gpt","오류났다","1254","1254","254","255","255","255"
"gpt","윙크","1254","1254","254","255","255","255"
"gpt","이건쉬움","1254","1254","253","255","255","255"
"gpt","이건웃기네","1254","1254","254","253","255","255"
"gpt","잘자","1254","1254","254","255","254","255"
"gpt","잠깐만","1254","1254","254","253","255","255"
"gpt","잠시로딩","1254","1254","253","255","255","255"
